phiy,sme_y,ll,lp,lpost
-0.00546811725705072,0.210688328328572,-266.253000958287,-37.45144455357,-303.704445511857
-0.142317663036235,0.228171078202344,-292.065454950528,-36.6303036775297,-328.695758628058
-0.132542695480579,0.228171078202344,-287.540224065976,-36.4959661231878,-324.036190189164
-0.122767727924923,0.228171078202344,-283.440823545651,-36.3711835679173,-319.812007113569
-0.112992760369267,0.228171078202344,-279.767251482205,-36.2559560117182,-316.023207493923
-0.103217792813611,0.228171078202344,-276.519508829312,-36.1502834545906,-312.669792283903
-0.093442825257955,0.228171078202344,-273.697597494321,-36.0541658965343,-309.751763390855
-0.083667857702299,0.228171078202344,-271.301515093045,-35.9676033375495,-307.269118430595
-0.073892890146643,0.228171078202344,-269.331262102322,-35.8905957776361,-305.221857879958
-0.0641179225909869,0.228171078202344,-267.78683899899,-35.8231432167941,-303.609982215784
-0.0543429550353309,0.228171078202344,-266.668245783047,-35.7652456550235,-302.433491438071
-0.0445679874796749,0.228171078202344,-265.975481977658,-35.7169030923243,-301.692385069982
-0.0347930199240188,0.228171078202344,-265.708548059659,-35.6781155286966,-301.386663588355
-0.0250180523683628,0.228171078202344,-265.867443552213,-35.6488829641402,-301.516326516353
-0.0152430848127068,0.228171078202344,-266.452168932156,-35.6292053986553,-302.081374330812
-0.00546811725705072,0.228171078202344,-267.462724676328,-35.6190828322417,-303.081807508569
-0.142317663036235,0.245653828076115,-290.944921175104,-35.2486791443378,-326.193600319442
-0.132542695480579,0.245653828076115,-286.807441869837,-35.1143415899959,-321.921783459833
-0.122767727924923,0.245653828076115,-283.063158670527,-34.9895590347255,-318.052717705252
-0.112992760369267,0.245653828076115,-279.712071577173,-34.8743314785264,-314.5864030557
-0.103217792813611,0.245653828076115,-276.754181543452,-34.7686589213987,-311.52284046485
-0.093442825257955,0.245653828076115,-274.189486662012,-34.6725413633425,-308.862028025355
-0.083667857702299,0.245653828076115,-272.017988840204,-34.5859788043577,-306.603967644562
-0.073892890146643,0.245653828076115,-270.239686170679,-34.5089712444443,-304.748657415124
-0.0641179225909869,0.245653828076115,-268.854581037623,-34.4415186836022,-303.296099721225
-0.0543429550353309,0.245653828076115,-267.862671533686,-34.3836211218317,-302.246292655518
-0.0445679874796749,0.245653828076115,-267.263957658869,-34.3352785591325,-301.599236218001
-0.0347930199240188,0.245653828076115,-267.058441320521,-34.2964909955047,-301.354932316025
-0.0250180523683628,0.245653828076115,-267.246120611292,-34.2672584309484,-301.51337904224
-0.0152430848127068,0.245653828076115,-267.826995531183,-34.2475808654634,-302.074576396647
-0.00546811725705072,0.245653828076115,-268.801067510706,-34.2374582990499,-303.038525809756
-0.142317663036235,0.263136577949886,-290.271165536456,-34.1971770862234,-324.46834262268
-0.132542695480579,0.263136577949886,-286.475190805011,-34.0628395318815,-320.538030336893
